,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,
#,Punitivewealthtax,Punitive Wealth Tax,tax,"There is nothing wrong with wealth as such, but inequality in our society is bad enough that we must be seen to do something to ensure those with the highest levels of income bear their share of the costs of maintaining a healthy society. It is entirely reasonable to set a tax rate that takes away the majority of income above extremely high levels, as this money is so much more appreciated by those on lower incomes.",MULTIPLYINCOME,22,12,11,11,TAX,0,0,,1,120,6800,"GDP,0.5+(0.5*x);Wealthy_perc,0.5+(0.5*x)",#Effects,"Wealthy,-0.02-(x*0.81)^2","Capitalist,-0.09*(x^2)","Socialist,0.18*(x^2)","BrainDrain,0.15*(x^2),4","_global_socialism,0.065*(x^2),8","Wealthy_income,0-(x*0.55)","CorporateExodus,0+(0.2*x),8",,
#,Publictaxreturns,Public Tax Returns,taxreturns,"Unfortunately some wealthy people in our society try to avoid taxes with illegal tax evasion methods. By  making tax returns public, people can now check if someone is using loopholes or abusing the tax system. This full disclosure  will encourage support of the system, as well as reducing tax evasion and forcing everyone to be able to justify their income.",,14,9,7,7,TAX,0,0,,4,0,0,,#Effects,"Wealthy,-0.08*(x^2)","Equality,0.03*(x^0.5),8","Liberal,-0.04-(0.02*x)","TaxEvasion,-0.05-(0.15*x),4","BlackMarket,-0.1-(0.10*x),2","Socialist,0.02+(0.02*x)",,,
#,Compulsorylanguagelessons,Compulsory Language Lessons,default,"Some people just can't be bothered to learn languages on their own in order to improve their chances on the job market or to understand other people from different nations. Compulsory language lessons will force these people to deal with the world outside, improve our attitudes to foreign visitors,, and enable us to better deal with foreign companies, all whilst giving us a greater understanding of other cultures.",,24,10,10,10,PUBLICSERVICES,80,205,,2,0,0,,#Effects,"RacialTension,-0.05-(x*0.10),18","Education,0.02+(x*0.03),4","ForeignRelations,0.045+(x*0.10),4","InternationalTrade,0.02+(x*0.08),8","Immigration,0.01+(x*0.08),8","Patriot,-0.08*(x^2)",,,
#,Banforeignchurchservice,Ban Foreign Church Service,foreignchurchban,"Misunderstandings can lead to tragedies and nothing has caused more trouble and deaths in the past than religious conflict. The easiest way to prevent further trouble here is to ban foreign church service outright, avoiding further misunderstandings and unrest.",,30,16,12,12,PUBLICSERVICES,0,0,,2,0,0,,#Effects,"Religious,0.04+(x*0.20)","Liberal,-0.04-(x*0.11)","EthnicMinorities,-0.07-(x*0.43)","Immigration,-0.03-(x*0.7),2","RacialTension,0.05+(x*0.25)",,,,
#,Diversityquotasforcompanies,Diversity Quotas For Companies,default,"A diverse company is a happy and healthy company. Enabling diversity quotas for companies will force companies hire more people from different ethni backgrounds that have the same qualification, easing racial tensions and making companies a place of equal opportunity.",,22,12,8,8,ECONOMY,5,10,,2,0,0,,#Effects,"EthnicMinorities,0.1+(x*0.15),4","Equality,0.05+(x*0.05),12","Capitalist,-0.04-(x*0.04)","SelfEmployed,-0.06-(x*0.04)","RacialTension,-0.075-(x*0.11),16","Liberal,0.05+(0.08*x)",,,
#,Newcarsubsidies,New Car Subsidies,default,"New cars are expensive but also cause less strain on the environment, while old and used cars may be cheaper but also cause more pollution. Using new car subsidies will help people buy new cars that are safer and protect the environment while making motorists happy. New car smell for everyone!",,14,16,8,8,TRANSPORT,60,800,,1,0,0,,#Effects,"Motorist,0.05+(x*0.13)","OilDemand,-0.02-(x*0.03),4","Motorist_income,0.05+(x*0.08),4","CarUsage,0.02+(x*0.02),4","CO2Emissions,-0.02-(0.02*x),4","Environment,0.02+(0.02*x),4","AsthmaEpidemic,-0.02-(0.02*x),4","GDP,0.01+(0.01*x),2",
#,Flagsoneverystreetcorner,Flags On Every Street Corner,flagsoncorners,"To boost patriotism and to induce a sense of belonging into people, putting flags of our country on every street corner will help with our national self esteem. It also looks much better than some burger advertisement.",,16,16,6,6,LAWANDORDER,10,80,,1,0,0,,#Effects,"Patriot,0.03+(x*0.21)","ForeignRelations,0-(x*0.04)^2,4","Patriot_freq,0.17*(x^2)+0.1,20","RacialTension,0.01+(0.03*x),4","EthnicMinorities,-0.01-(0.02*x),4",,,,
#,Nationalanthematstartofnews,National Anthem At Start Of News,nationalnewsanthems,Flashy introductions for news shows may look fancy but it's missing the point: These news are for our people in our country. So we should make that clear and add a flair of patriotism and pride by having the national anthem played at the start of the news instead.,,18,10,7,7,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Patriot,0.08+(x*0.04)","ForeignRelations,-0.015-(x*0.015),2","Patriot_freq,0.06+(x*0.14),16",,,,,,
#,Nationalanthemsinschool,National Anthems In Schools,anthemsinschool,Young people these days have lost all sense of belonging. Starting the day in school with the national anthem will boost their national pride and help disciplining them. They may not always like it but it's good for them.,,20,14,8,8,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Patriot,0.02+(x*0.06)","Young,-0.02-(x*0.05)","Patriot_freq,0.02+(x*0.08),24",,,,,,
#,Compulsorychurchattendance,Compulsory Church Attendance,churchattendance,How can you be saved if you don't listen to what is important and how to live your life? Making church attendance compulsory will save many souls and lead to a better life for the majority of our people. Too bad about those that do not believe in the right thing.,,32,20,12,12,LAWANDORDER,0,0,,1,0,0,,#Effects,"Religious,0.04+(x*0.16)","Liberal,-0.08-(x*0.12)","EthnicMinorities,-0.02-(x*0.18)","Religious_freq,0.04+(x*0.20),24",,,,,
#,Forcepoliticalmilitaryreligiousoath,Force Political Military Religious Oath,religiousoath,"Adding religion to oaths given in public by our officials and troops will create a greater sense of honor and security to the public, giving them the feeling that what we are doing is the right thing to do. With righteousness on our side, nothing can go wrong.",,28,16,10,10,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.06+(x*0.11)","RacialTension,0.05+(x^2)*0.15,4","ForeignRelations,-0.02-(x^2)*0.08,8","Religious_freq,0.02+(x^2)*0.21,16","Liberal,-0.06-(x^6)*0.54,2",,,,
#,Publicreligiousbroadcasts,Public Religious Broadcasts,religiousbroadcasts,The voice of faith and reason needs to be heard to have an effect. Adding public religious broadcasts will do a great service in countering all the bad influences of modern mass media as well as making people value the right things again.,,16,14,8,8,PUBLICSERVICES,20,110,,1,0,0,,#Effects,"Religious,0.06+(x*0.12)","Liberal,-0.08-(x*0.19)","Religious_freq,0.03+(x*0.1),16","RacialTension,0.05+(x^2)*0.15,4",,,,,
#,Bandivorce,Ban Divorce,bandivorce,The holy institution of marriage was not meant to be severed by anything other than death. Nowadays people divorce for the silliest things and this threatens whole families and the well being of our children even though often husband and wife just have to toughen through the hard part. Banning divorces will give marriage back it's true meaning.,,32,18,12,12,LAWANDORDER,0,0,,1,0,0,,#Effects,"Conservatives,0.06+(x*0.05)","Religious,0.08+(x*0.12)","Liberal,-0.06-(x*0.1)","Religious_freq,-0.01-(x*0.02),8",,,,,
#,Banhomosexuality,Ban Homosexuality,banhomosexuality,"According to many religious texts, homosexuality is a sin. In order to combat this, banning homosexuality might convince many sinners to get their life back on track and follow the natural order that God intended.",,48,22,16,16,LAWANDORDER,0,0,,1,0,0,,#Effects,"Religious,0.08+(x*0.07)","Liberal,-0.14-(x^2)*0.28","Conservatives,0.04+(x*0.04)","CrimeRate,0+(x^4)*0.03,4","Religious_freq,-0.02-(x*0.04),8",,,,
#,Banlowmpgcars,Ban Low MPG Cars,ban,"With gas prices climbing constantly and nature being polluted from all sides, banning cars that use too much fuel may be the right step to protect the environment and help with excessive fuel usage. A big street cruiser might look cool, but it's way too expensive and wasteful and should be banned from the streets. What is good for the enviornment is good for society.",,25,15,10,10,TRANSPORT,4,8,,2,0,0,,#Effects,"OilDemand,-0.025-(0.05*x),12","CarUsage,-0.05-(x^2)*0.1,7","Motorist,-0.05-(x^2)*0.14","Environmentalist,0.05+(x^2)*0.16","Environment,0.03+(x^2)*0.11,8","CO2Emissions,-0.02-(x^2)*0.08,3",,,
#,Mandatorymicrogeneration,Mandatory Microgeneration,default,"One of the biggest cost factor in our lives these days is electricity and heat. By making micro generation mandatory, every citizen has the task of generating at least a part of his or her electricity by using solar or wind power, depending on their situation and where they live. A big step towards lowering CO2 Emissions.",,34,15,7,7,ECONOMY,2,4,,8,0,0,,#Effects,"Environmentalist,0.06+(x*0.13)","OilDemand,-0.02-(x*0.08)","CO2Emissions,-0.03-(x*0.11)","Environmentalist_freq,0.08+(x*0.12),12","Capitalist,-0.05-(0.09*x)","Environment,0.02+(0.04*x)",,,
#,Punitivetaxonsuperstores,Punitive Tax On Superstores,tax,"Superstores may be convenient for out citizens, but they have many negative effects, they encourage car journeys, rather than supporting local shops, and their dominance is encouraging a society dominated by big business, with no room for the small family owned store. They should be taxed to reflect the harm they do to the fabric of our society.",,13,11,6,6,TAX,0,0,,1,400,5000,"GDP,0.5+(0.5*x);",#Effects,"Capitalist,-0.04-(x*0.09)","GDP,-0.01-(x*0.01),4","SelfEmployed,0.06+(x*0.12)","SelfEmployed_freq,0.04+(x*0.08),8","CarUsage,-0.03-(x*0.03),8","Environmentalist,0.03+(0.04*x)","Socialist,0.03+(0.06*x)",,
#,Limitorbancarsincities,Limit or ban Cars In Cities,cityban,"Cars are a major factor in air pollution, especially in big cities. Adding a congestion charge or outright banning them from cities will help greatly in fighting air pollution in cities and will increase the use of public transportation. It might look a little extreme to ban cars altogether but it's still better than to breathe in all that poison.",,40,10,15,15,TRANSPORT,12,26,,2,0,0,,#Effects,"CarUsage,-0.05-(x^2)*0.31,9","Motorist,-0.1-(x^2)*0.25","Environmentalist,0.03+(x^2)*0.12","Motorist_freq,-0.04-(x^2)*0.22,8","Environment,0.05+(x^2)*0.12,7",,,,
#,Closeairportscompletely,Close Airports Completely,closeairports,"An extreme measure to fight pollution, closing down all airports will have severe effects on trade, foreign relations and tourism but will cause much less pollution and increase the usage of other transportation. In this modern day, we simply cannot turn a blind eye to the damage to the environment that is being done by our air travel industry. Desperate times call for desperate measures.",,40,10,15,15,TRANSPORT,0,0,,2,0,0,,#Effects,"AirTravel,-0.6-(x^2)*0.8","InternationalTrade,-0.1-(x^2)*0.24,6","ForeignRelations,-0.04-(x^2)*0.04,6","Tourism,-0.1-(x^2)*0.25,6","Environmentalist,0.08+(x^2)*0.2","Environment,0.02+(x^2)*0.04","GDP,-0.03-(x^2)*0.06,2","Immigration,-0.1-(x^2)*0.21",
