,,,,,,,,positive,start trigger,stop trigger,,,,,,,,,,,,,,,,,,,,,
#,ContagiousDisease,Contagious Disease,Our population is falling for a highly contagious illness that is keeping record numbers of people away from work. This is obviously going to have a negative effect on the economy as well as reducing everyone's quality of life.,WELFARE,sit_icons_contagiousdisease.dds,A highly contagious and disabling disease has taken hold amongst our population. This is probably attributable to poor levels of public health or possibly high pollution.,The contagious disease that has ravaged our population has finally been eliminated thanks to excellent work by doctors and scientists. You can now leave your home again!,0,0.6,0.4,0,0,"_default_,0.6",,"Environment,1-(1*x),2","StateHealthService,0-(0.4*x)","PrivateHealth,0-(0.4*x)","ScienceFunding,0-(0.4*x),2","FoodStandards,0-(0.2*x)","AntibioticsBan,0-(0.2*x)",#,"WorkerProductivity,0-(0.05*x)","Tourism,0-(0.2*x)","Health,0-(0.1*x)","_Lifespan,0-(0.2*x)","_All_,0-(0.1*x)",,,,,
#,CorporateExodus,Corporate Exodus,Our lack of business friendly policies are forcing international companies to close down factories and offices and move their business to other countries.,ECONOMY,sit_icons_corporateexodus.dds,There are concerns that a large number of companies are leaving the country,Concerns about a corporate exodus from our country have subsided.,0,0.6,0.4,0,0,,,"LabourLaws,-0.3+(0.6*x),4","CorporationTax,0+(0.9*x),4","WorkSafetyLaw,0.1+(0.1*x),4","MaternityLeave,0.02+(0.03*x),4","CarbonTax,0.02+(0.04*x),4","TaxShelters,-0.05-(0.15*x),4",#,"GDP,-0.05-(0.27*x)","Capitalist,-0.08-(0.08*x)",,,,,,,,
#,CyberWarfare,Cyber Warfare,"Our nation suffers from a serious problem of deliberate cyber-warfare conducted by a combination of rival governments, criminal organizations and international terror groups. By paralyzing our internet infrastructure, these attacks can cause widespread chaos. There is also a problem of trade secrets being stolen by foreign companies which will affect our competitiveness abroad and thus our GDP.",FOREIGNPOLICY,sit_icons_cyberwarfare.dds,"We have been alerted to a significant problem of cyber warfare against our businesses and infrastructure, which is having a damaging effect on our economy.",Our experts are glad to announce that the threat of cyber-warfare against our nation is now greatly reduced.,0,0.55,0.45,0,0,,"_NewColony,0-(x^10)","GDP,-0.3+(1.0*x),4","Technology,-0.3+(0.65*x),8","ForeignRelations,0.27-(x*0.75)","InternetCensorship,0-(0.22*x),4","IntelligenceServices,-0.5*(x^4),6",,"MilitarySpending,-0.1*(x^8)",#,"GDP,0-(0.05*x)",,,,,,,,
#,Cyclones,Severe Weather,"The frequency and strength of floods, droughts, and other severe weather events have increased dramatically. Crop loss and devastation are the result, with a terrible impact on the income for farmers, and an increase in the level of public concern about the environment.",ECONOMY,sit_icons_cyclones.dds,"Meteorologists have announced that severe weather is ahead, likely fueled by rising average temperatures.",Meteorologists announce that the worst effects of climate change are under control and extreme weather conditions have returned to normal levels.,0,0.6,0.55,0,0,,,"AverageTemperature,0.40+(0.50*x),12","ClimateChangeAdaptionFund,0-(0.2*x)",#,"Environmentalist,-0.1-(0.1*x)","Environmentalist_freq,0.1+(0.1*x)","Farmers,-0.12-(0.2*x)","Farmers_income,0.0-(x^3),4","Farmers_freq,0.0-(0.08*x),6","FoodPrice,0+(0.06*x),2","GDP,0-(0.03*x)","Tourism,0-(0.05*x),2",,,,,,
#,DebtCrisis,Debt Crisis,"Our level of government debt has started to cause severe fiscal problems. The governments debt has pushed interest rates so high that mortgage costs are becoming unaffordable for the middle classes. At the same time, fears about a possible government default on it's debts are driving away business investment from overseas, affecting our GDP, and these fears are also affecting small and large business alike. ",TAX,sit_icons_debtcrisis.dds,The country is now in the middle of a debt crisis.,Concerns about government debt levels are now lowering.,0,0.6,0.4,0,0,,,"_global_interest_rates_,0.2*(x^4)","_effectivedebt_,0+(x^4)",#,"Capitalist,-0.3-(0.5*x)","SelfEmployed,-0.3-(0.25*x)","MiddleIncome,-0.2-(0.3*x)","_MiddleIncome,-0.2-(0.4*x)","_All_,-0.2-(0.2*x)","GDP,-0.2-(0.2*x),2","Immigration,0-(0.25*x)",,,,,,,
#,DoctorsStrike,Doctors Strike,"It takes a lot for medical professionals to refuse to work, but the state of our health provision and the salaries of our health workers has resulted in a national health strike. This has an immediate and devastating effect on those who use the health services regularly.",WELFARE,sit_icons_doctorsstrike.dds,"Doctors and other health workers are on strike, protesting about government policies.","The health workers strike has been called off, and the doctors have returned to work.",0,0.6,0.4,0,0,"_default_,0.7",,"_prereq_,StateHealthService","StateHealthService,-0.65*(x^7),8","Unemployment,0-(x^4)","LabourLaws,-0.2+(0.4*x)","PrivateHealth,-1*(x^4)","TradeUnionist_perc,0+(0.15*x)","Wages,0.1-(0.1*x),2",#,"Parents,0-(0.4*x)","Health,-0.22-(0.1*x)","ContagiousDisease,0+(0.12*x),2",,,,,,
#,DroneWars,Drone Protests,"Protests against domestic drone surveillance and drone strikes in foreign countries have turned violent. For now, the protests focus on key institutions and high tech companies but the costs for the public are already immense.",FOREIGNPOLICY,sit_icons_droneprotests.dds,The state police warns you that protests against drone strikes and drone surveillance are getting more frequent.,Protests against drone strikes and drone surveillance have been contained. Violent protesters are getting prosecuted.,0,0.6,0.4,0,0,"_default_,0.1",,#,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Alcoholism,Alcohol Abuse,We have a serious problem with people consuming alcohol in large quantities. This is obviously bad for their health but its also leading to crime and disorder in our cities. ,WELFARE,sit_icons_alcoholism.dds,A new problem of 'Alcohol Abuse' where our citizens consume unhealthy amounts of alcohol has started to cause problems on our streets.,The phenomena of 'Alcohol Abuse' has apparently subsided.,0,0.6,0.4,0,0,,"_NewColony,0-(x^4)","AlcoholUse,0.01+(0.09*x)","Health,0-(0.1*x)","_LowIncome,0.3*(1-x)^2","_MiddleIncome,0.3*(1-x)^10","_HighIncome,0.3*(1-x)^10","Unemployment,0+(0.2*x)","WorkingWeek,0+(0.2*x)","Equality,0-(0.2*x)",#,"Parents,0-(0.2*x)","ViolentCrimeRate,0+(0.1*x)",,,,,,
#,DrugAddiction,Drug Addiction,Hard drugs are being traded freely on our streets. Our young citizens especially are becoming addicted to dangerous drugs. This is likely to fuel crime as well as being a disaster for the future health of our citizens.,WELFARE,sit_icons_drugaddiction.dds,Recent studies indicate a serious problem with addiction to hard drugs amongst our population.,"The level of drug addiction within the population has dropped back to negligible levels. This is likely to cause a drop in crime levels, which will make everyone happy.",0,0.6,0.35,0,0,,"_NewColony,0-(x^4)","CannabisUse,0.01+(0.09*x)","Health,0-(0.4*x)","_LowIncome,0.2*(1-x)^2","_MiddleIncome,0.2*(1-x)^10","_HighIncome,0.2*(1-x)^10","Unemployment,0+(0.1*x)","WorkingWeek,0+(0.4*x)","Equality,0-(0.2*x)",#,"Parents,0-(0.2*x)","CrimeRate,0+(0.1*x)",,,,,,
#,Suicide,Suicide,"Suicide is one of the leading causes of death in our nation. Risk factors include mental disorders, substance abuse, stress, and access to methods of suicide.",WELFARE,icons_deathpenalty.dds,A suicide epidemic is sweeping the nation.,Great news from the department of health! There has been a noticeable fall in the incidence of suicide across the nation.,0,0.6,0.4,0,0,,"_NewColony,0-(x^2)","HandgunLaws,0.4-(x^4)*0.5,4","Health,0-(0.3*x)","ExtremePoverty,0+(0.3*x),8","_MiddleIncome,0.2*(1-x)^10,8","_HighIncome,0.2*(1-x)^10","Unemployment,0+(0.5*x),4","WorkingWeek,0+(0.4*x),8","AlcoholUse,0+(0.2*x),8","Religious_perc,0-(0.2*x)",#,"_Lifespan,0-(0.2*x)","WorkerProductivity,0-(0.1*x)","Religious_freq,0+(0.1*x)",,,,
#,EgalitarianSociety,Egalitarian Society,"Understanding our different backgrounds better and better these days due to cultural exchanges and education, people are now treating each other equally, blurring and even erasing the lines between different races, genders and beliefs. Living in such a society makes people very happy and less likely to cause harm to others.",WELFARE,sit_icon_egalitariansociety.dds,The dawn of a new era is upon us. Our Society has become more equal and accepting than ever before. This makes many people happy.,"It was a great time of equality, but everything has to end eventually. People are more concerned with their own lives and worries again and less so to make others feel accepted and welcome.",1,0.7,0.55,0,0,,,"RacialTension,0.4-(0.8*x)","Equality,-0.2+(x^4)","Education,0+(0.25*x)",#,"WorkerProductivity,0+(0.05*x)","_All_,0+(0.2*x)",,,,,,,,,,,
#,ExtremeNationalism,Extreme Nationalism,"With a rise in patriotic feelings across the country, extremists have begun to publicly blame foreigners and ethnic minorities for these problems, demanding jobs for people that have been living in our country for generations first. Lacking hope and education, many people have begun to believe in these extremists, causing increased violence and racial tensions nationwide.",LAWANDORDER,sit_icon_extremenationalism.dds,"Using the despair and fear of the people, patriotic extremists are recruiting more and more people to their cause, which leads to an increase in racial tensions nationwide.","Workshops, outreach programs and better education have helped keeping people from bad nationalist influences, thus making our country a better and safer place again.",0,0.6,0.4,0,0,,,"RacialTension,0+(0.5*x)","Immigration,0+(0.5*x)","Education,0-(0.4*x)",#,"ForeignRelations,0-(0.06*x)","ViolentCrimeRate,0+(0.1*x)","RacialTension,0+(0.2*x),2","Immigration,0-(0.2*x),4","Tourism,0-(0.2*x),3",,,,,,,,
#,ExtremePoverty,Extreme Poverty,"It is never easy to be poor, but in our country the situation is as bad as it can get for them. Immense poverty has lead to starving people on the streets, begging for food and sleeping in dark corners and deserted buildings. Because of this, crime and alcohol consumption has increased and poor people are suffering from bad health.",WELFARE,icons_povertyrate.dds,"As poverty increases, people are starting to lose hope, are forced to sleep in the streets, have to beg in the streets and consume more alcohol to numb their suffering.","While many of the poorer people in our country still are in a bad situation, a rise in the economy, donations, government programs and community workers have made it bearable again for most.",0,0.6,0.4,0,0,,"_NewColony,0-(x^10)","_LowIncome,1*(1-x)^10",#,"_global_socialism,0+(0.2*x),4","Health,0-(0.1*x)","CrimeRate,0+(0.1*x)","Religious_freq,0+(0.2*x),4",,,,,,,,,,,
#,Flooding,Flooding,Melting ice caps and rising sea levels are flooding our coastal cities.,ECONOMY,icons_climatechangeadaptionfund.dds,Melting ice caps and rising sea levels are flooding our coastal cities.,We solved the flooding problem.,0,0.2,0.1,0,0,"_default_,0",,"AverageTemperature,0+(1*x)","ClimateChangeAdaptionFund,0-(0.8*x)",#,"GDP,0-(0.5*x),4","InternationalTrade,0-(0.5*x),4","Environmentalist_freq,0+(1*x),4",,,,,,,,,,,
#,Foodcrisis,Food Crisis,"Food prices have reached a critical point, driven by poor farm yields and overpopulation. Somehow we need to increase food supply, reduce demand or mitigate the impact of the prices for the poorest members of society.",ECONOMY,sit_icons_foodcrisis.dds,The price of food has increased significantly over the past months. Tabloids are already calling it a food crisis.,Food prices have returned to normal levels.,0,0.6,0.55,0,0,,,"FoodPrice,0.0+(1.0*x)","FoodStamps,0.0-(0.1*x)",#,"Health,0-(0.08*x),12","WorkerProductivity,0-(0.10*x)","CrimeRate,0.0+(0.06*x)","StateHealthService_cost,0+(0.10*x)","Poor,0.3-(x^2)","AntisocialBehaviour,0.1+0.3*(x^2)",,,,,,,,
#,GeneralStrike,General Strike,"Widespread dissatisfaction with the government has led to trade unions calling a general strike. Although not everyone in the country is withholding their labor, a number of key industries are crippled by this strike which will be disastrous both economically and politically.",ECONOMY,sit_icons_generalstrike.dds,"A general strike has been called, with tens of thousands of our citizens walking out of their jobs to protest against the government. This could cripple our economy.","Thankfully the general strike has been called off and our citizens are returning to work, this is great news for the economy!",0,0.6,0.4,0,0,,,"_LowIncome,0-(1*x)","LabourLaws,-0.2+(0.4*x)","ExtremePoverty,0+(0.5*x)","Unemployment,0-(1*x)","TradeUnionist_perc,-1+(2*x)","Socialist_perc,-0.2+(0.4*x)",#,"GDP,0-(0.1*x)","Conservatives,0-(0.1*x)","_global_socialism,0-(0.2*x),12","TradeUnionist_perc,0-(0.5*x)",,,,,,
#,Ghettos,Ghettos,"A combination of immigration, street crime and racial tension has led to our communities splintering into ghettos for different racial groups, which is a sad reflection on the state of our society.",LAWANDORDER,sit_icons_ghettos.dds,A worrying phenomena of racial ghettos is becoming apparent in our country. It is a concern that people from ethnic minorities are clustering together for their own safety in fear of crime.,"The problem of racial ghettos has eased in our country, with people of all races living happily side by side.",0,0.6,0.4,0,0,,,"RacialTension,0+(0.5*x),16","Immigration,0+(0.5*x),8",#,"Equality,0-(0.1*x),4","Immigration,0-(0.5*x),8","Liberal,0-(0.1*x)","EthnicMinorities,0-(0.2*x)","StreetGangs,0+(0.1*x),12","Religious_freq,0+(0.1*x),4",,,,,,,,
#,Gridlock,Gridlock,"Chronic congestion leading to virtual paralysis of the transport infrastructure. There comes a point where traffic congestion is so bad, nobody can get anywhere!",TRANSPORT,sit_icons_gridlock.dds,Traffic congestion has reached a state of permanent gridlock.,"The traffic gridlock has now eased and average speeds are faster than a snails pace again, so commuters and motorists will be very relieved. This also means learning to drive will no longer seem futile for our citizens.",0,0.6,0.4,0,0,,,"TrafficCongestion,0+(x^4)",#,"Commuter,-0.2-(0.5*x)","Motorist_freq,-0.09-(0.05*x)","Motorist,-0.5-(0.35*x)","GDP,0-(0.05*x)",,,,,,,,,,,
#,HighProductivity,High Productivity,"Our workforce are extremely productive, producing a higher amount of practically everything in comparison with our competitors. This is great news for the future of our economy.",ECONOMY,sit_icons_highproductivity.dds,Business pundits report that our companies are highly efficient and productive in comparison with competing nations.,"Our workers' productivity has fallen and sadly, we are no longer considered to be a nation with especially high productivity. Global corporations may rethink setting up factories here, and this will adversely affect our economy.",1,0.6,0.4,0,0,,,"WorkerProductivity,0.95*(x^2)",#,"GDP,0.04+(0.03*x)","SelfEmployed,0+(0.1*x)","Capitalist,0+(0.1*x)","SelfEmployed_income,0+(0.08*x)",,,,,,,,,,,
#,Homelessness,Homelessness,"More and more of our citizens are homeless and have taken to sleeping in the streets. This is having knock-on effects in the areas of crime and violent crime, and is also reducing everyone's quality of life. Something needs to be done to provide homes for these people!",WELFARE,sit_icons_homelessness.dds,"We now have a homelessness problem. Many of our cities have people sleeping in the streets, often begging for money.","We no longer have a problem with homelessness and people sleeping on our streets. This will cheer up our more liberal citizens, socialists, and of course the poorer members of our society.",0,0.6,0.4,0,0,"_default_,0.1",,"ExtremePoverty,0+(1*x)","StateHousing,0-(1*x)","PrivateHousing,0-(0.4*x)","Unemployment,0+(1*x)","UnemployedBenefit,-1*(Unemployment*x)","MortgageTaxRelief,-0.05-(0.05*x)","Immigration,0+(0.1*x),4","Charity,0-(0.1*x)",#,"CrimeRate,0+(0.1*x)","Alcoholism,0+(0.2*x)","DrugAddiction,0+(0.2*x)","Suicide,0+(0.4*x)","Religious_freq,0+(0.2*x),4","Poor,0-(0.2*x)","MiddleIncome,0-(0.1*x)","Liberal,0-(0.2*x)"
#,HospitalOvercrowding,Hospital Overcrowding,"There simply aren't enough hospital places to go round. The problem is especially bad amongst the poor, who cannot afford private healthcare. People waiting in a queue for a vital operation are naturally not inclined to vote for your government again.",WELFARE,sit_icons_hospitalovercrowding.dds,Doctors complain that our hospitals are seriously overcrowded. The media is reporting cases where patients are kept waiting for long periods.,Hospital bed occupancy rates have fallen and doctors are pleased to report that there are no longer unacceptable waiting lists for routine operations. Hurrah!,0,0.6,0.4,0,0,"_default_,0.6","_NewColony,0-(x^10)","Immigration,0+(0.2*x)","Health,0+(0.12*x)","StateHealthService,-0.05-(0.55*x)","ViolentCrimeRate,0+(0.2*x)","PrivateHealth,0-(0.30*x)",#,"Parents,-0.2-(0.5*x)","Retired,-0.2-(0.45*x)","ContagiousDisease,0+(0.1*x)",,,,,,,,
#,InnerCityRiots,Riots,"The citizens have taken to the street to voice their concerns. There are violent protests and riots taking place all over the country. The policing cost in the short term is extremely high, but in the medium term this is a sign that your government has become highly unpopular with certain groups.",LAWANDORDER,sit_icons_innercityriots.dds,Riots have broken out in our inner cities. Something needs to be done to get the situation under control before our cities collapse into anarchy!,The riots in our inner cities have been bought under control by the police. Our citizens can live free of the worries of violence and looting in their communities!,0,0.6,0.4,0,0,,"_NewColony,0-(x^4)","_Terrorism,0+(0.2*x)","Unemployment,0+(0.5*x)","ExtremePoverty,0+(0.25*x)","Equality,-0.01-(0.5*x)","RacialTension,0.01+(0.5*x)","CCTVCameras,0-(0.1*x)","ArmedPolice,-0.1-(0.1*x)","Curfews,-0.2-(0.3*x)","PoliceDrones,-0.1-(0.05*x)",,#,"_All_,0-(0.1*x)","CrimeRate,0+(0.1*x),2","Immigration,0-(0.25*x),4","Tourism,0-(0.5*x)",,
#,InternetCrime,Internet Crime,With our high levels of Internet usage and other technological items we are seeing a sharp rise in Internet Crimes. Computer viruses that no longer simply break the target computer but hide themselves and steal the users private information until detected (often to steal bank passwords or commit identity fraud) or hijack that computer and use it to perform further crime that's difficult to trace back to the original source.,LAWANDORDER,sit_icons_internetcrime.dds,Reports indicate that internet crime is becoming quite common.,The instances of internet crime within our country have fallen dramatically and are no longer a major concern.,0,0.6,0.4,0,0,,,"Technology,0.85*(x^2),4","CrimeRate,0+(x*0.25)","OrganisedCrime,0+(0.11*x)","InternetCensorship,-0.2-(0.2*x),6",,"IntelligenceServices,-0.3*(x^3),10",#,"GDP,0-(0.05*x)","_security_,-0.01-(0.05*x)","Capitalist,0-(0.1*x)","MiddleIncome,0-(0.1*x)","Wealthy,0-(0.1*x)",,,,,
#,LudditeRiots,Luddite Riots,The increasing level of automation in our society has led to high concern for jobs. The result is a wave of luddite-style violence and sabotage against high tech corporations who have automated peoples jobs.,ECONOMY,sit_icons_ludditeriots.dds,A new manifesto published on a trade union-related website calls for widespread civil unrest directed at the increasing levels of automation.,An agreement with trade unions and protesters that allows high-tech factories to commence production has been reached.,0,0.6,0.4,0,0,"_default_,0.3",,"_prereq_,RoboticsResearch","Unemployment,0+(0.3*x),4","TradeUnionist_perc,0.00+(0.1*x)","IndustrialAutomation,0.0+(0.6*x),2","Technology,0+(0.15*x)","Wages,0-(0.2*x)","Education,0-(0.1*x)",#,"WorkerProductivity,0-(0.12*x)","CrimeRate,0+(0.16*x)","ViolentCrimeRate,(0+(0.10*x)","BrainDrain,0+(0.21*x),2",,,,,
#,MassShootings,Mass Shootings,"Indiscriminate mass shootings occur frequently in our nation. Forensic experts identify the primary motiviation is extreme anger, particularly when shooters think they are working for a cause.",LAWANDORDER,sit_icons_armedrobbery.dds,Mass shootings are sweeping the nation.,There has been a noticeable fall in the incidence of mass shootings across the nation.,0,0.6,0.4,0,0,,"_NewColony,0-(x^4)","HandgunLaws,0.6-(1.8*x)^2","_Terrorism,0+(0.75*x),4","Unemployment,0+(0.25*x),4","Suicide,0+(0.25*x),4",#,"_All_,0-(0.2*x)",,,,,,,,,,,
#,Obesity,Obesity,"Too many of our citizens are eating badly, possibly due to an abundance of junk food at cheap prices. This will have knock on effects for lifespan and for healthcare costs.",WELFARE,sit_icons_obesity.dds,"There is a worrying trend of obesity amongst our citizens, which will shorten peoples lifespan and increase health costs.",We are happy to report that the obesity problem now seems to be under control.,0,0.6,0.4,0,0,"_default_,0.5","_NewColony,0-(x^10)","FoodPrice,0-(1*x)","_LowIncome,0+(0.2*x),8","_MiddleIncome,0+(0.6*x),8","_HighIncome,0+(0.2*x),8",,"StateHealthService,-0.2*(x^6),12","PrivateHealth,-0.15*(x^6),12","JunkFoodTax,-0.2-(0.1*x),10","HealthFoodSubsidies,-0.2-(0.1*x),9",#,"Health,0-(0.15*x)","_Lifespan,0-(0.15*x)","StateHealthService_cost,0.05+(0.15*x),6",,,,
#,Oligarchy,Oligarchy,"An oligarchy exists when power rests with a small number of people. These people might be distinguished by nobility, wealth, family ties, education or corporate, religious or military control. Such states are often controlled by a few prominent families who typically pass their influence from one generation to the next.",ECONOMY,icons_equality.dds,"An oligarchy exists when power rests with a small number of people. These people might be distinguished by nobility, wealth, family ties, education or corporate, religious or military control. Such states are often controlled by a few prominent families who typically pass their influence from one generation to the next.",Oligarchy Ends,0,0.6,0.4,0,0,,"_NewColony,0-(x^2)","Equality,1-(1*x),16","Education,0-(0.25*x)","InheritanceTax,-0.05-(0.45*x),16","WealthTax,-0.05-(0.2*x),16",#,"GDP,0-(0.1*x)","Poor,0-(0.2*x)","MiddleIncome,0-(0.1*x)","Wealthy,0+(0.2*x)","Socialist,0-(0.2*x)",,,,,,,
