t,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,,,,
#,SmallBusinessGrants,Small Business Grants,default,"GDP, SelfEmployed, SelfEmployed_income, SelfEmployed_freq, Capitalist, HighIncome,0.05*(Capitalist_perc*x),4, Capitalism, -TradeUnionist_freq;  Self-Employed, GDP. The failure rate for small businesses is very high. In the early years of trading, a preferential government grant can be an enormous help to get a new enterprise off the ground. This can lead to a big boost to the economy, but it can also be an expensive policy with no guarantee of good results.",,10,2,1,1,ECONOMY,100,5000,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"GDP,0.01+(0.04*x),8","SelfEmployed,0.10+(0.25*x)","SelfEmployed_income,0.01+(0.14*x)","SelfEmployed_freq,0.02+(0.08*x),4","Capitalist,0+(0.1*x)","_HighIncome,0.05*(Capitalist_perc*x),4","_global_socialism,0-(0.05*x),12","TradeUnionist_freq,-0.02-(0.04*x),4",,,,,,
#,Compulsoryworkfortheunemployed ,Compulsory Work For The Unemployed ,workforunemployed,"-Poor, -Socialist, GDP,0.03*(x^0.5),4, MiddleClass, Capitalist, -Unemployment;  Everyone receiving unemployment benefits now has to do some work every week or risk a payment cut in their benefits. This includes public beautification, collecting litter and other tasks that do not risk any jobs. The goal is to make use of this major workforce and get people back into a work routine, hopefully resulting in them getting jobs soon. Nobody should expect to lvie off the state without working.",,15,5,1,1,ECONOMY,25,110,,4,0,0,,#Effects,"Poor,-0.12*(x^Unemployment)","Socialist,-0.12*(x^0.5)","GDP,0.03*(x^0.5),4","MiddleIncome,0.02+(x*0.05),4","Capitalist,0.03+(x*0.06)","Unemployment,0-(0.05*x),7",,,,,,,,
#,Desalination,Desalination,utility,Technology; Price reduced 50% by technology. Saltwater is desalinated to produce water suitable for human consumption or irrigation.,,15,5,1,1,ECONOMY,400,10000,"_default_,1.0;Technology,0-(0.5*x)",8,0,0,,#Effects,"Technology,0.04+(0.01*x),16",,,,,,,,,,,,,
#,FissionPower,Fission Power,utility,"Price reduced 90% by technology. High output and technology bonus, makes everyone unhappy, and foreign powers nervous.",,15,5,1,1,ECONOMY,20,10000,"_default_,1.0;Technology,0-(0.9*x)",16,0,0,,#Effects,"PowerSurplus,0+(1*x)","Technology,0.2+(0.1*x),16","ForeignRelations,-0.15-(0.05*x)","Patriot,-0.2-(0.4*x)","Patriot_freq,0.05+(0.25*x)",,,,,,,,,
#,HomeFabricationGrants,Home Fabrication Grants,default,"-Capitalist, MiddleClass, LowIncome, -ForeignRelations, -InternationalTrade, SelfEmployed_freq,0.13*(x^0.5), MiddleIncome;  Support the acquisition of 3d printers by households to lower dependency on imports. Everyday products can be repaired by printing spare parts and new items can be easily manufatured. While some capitalists my argue that this initiative endangers retail brands, with some luck, a new wave of happy self-employed is generated.",,15,5,1,1,ECONOMY,50,600,"GDP,0.5+(0.5*x);Technology,0.0-(0.2*x);IndustrialAutomation,0.0-(0.1*x)",4,0,0,,#Effects,"Capitalist,0-(0.05*x)","MiddleIncome,0+(0.08*x)","_LowIncome,0+(0.07*x)","ForeignRelations,0-(0.05*x)","InternationalTrade,-0.05-(0.08*x)","SelfEmployed_freq,0.13*(x^0.5)","_MiddleIncome,0.0+(0.09*x)",,,,,,,
#,MaternityLeave,Maternity Leave,maternityleave,"Parents, -WorkerProductivity, Parents_income, Parents_freq, TradeUnionist;  To some people, ensuring that mothers have a right to maternity leave and to return to their jobs afterwards is a sign of a civilized society, and one that encourages women to work. Some small businesses are concerned that it can put an unpredictable and even potentially crippling burden on an employer, especially where the number of employees is small. It could be argued that this actually encourages employers not to employ women.",,15,5,1,1,ECONOMY,0,0,,1,0,0,,#Effects,"_LowIncome,0.2*(Parents_perc*x)","PovertyRate,-0.2*(Parents_perc*x)","WorkingWeek,-0.02-(0.08*x)","Parents,0.1+(0.1*x)","WorkerProductivity,0+(0*x)","Parents_income,0+(0*x)","Parents_freq,0+(0*x)","TradeUnionist,0+(0*x)",,,,,,
#,WorkSafetyLaw,Work Safety Law,default,"TradeUnionist, TradeUnionist_freq, -SelfEmployed, -SelfEmployed_freq, -WorkerProductivity, Health;  Work safety law, often known as 'health and safety' is a series of measures to ensure employees are not at risk from injury in their day-to-day activities. Trade unionists often hail such laws as a valuable defense against unscrupulous employers who may put lives at risk. Many business leaders are concerned at the high levels of bureaucracy and restrictive practices that can result from such laws, which they see as a burden on business.",,15,5,1,1,ECONOMY,10,55,,1,0,0,,#Effects,"Health,0.05+(0.05*x)","WorkerProductivity,-0.01-(0.02*x),4","SelfEmployed_freq,-0.02-(0.08*x)","SelfEmployed,-0.05-(0.08*x)",,,,,,,,,,
#,RenewablePower,Renewable Power,utility,Price reduced 75% by technology. Moderate output and technology bonus.,,20,5,1,1,ECONOMY,20,10000,"_default_,1.0;Technology,0-(0.75*x)",16,0,0,,#Effects,"PowerSurplus,0+(0.5*x)","Technology,0.15+(0.05*x),16","Environmentalist,0.05+(0.05*x)",,,,,,,,,,,
#,VerticalFarmSubsidies,Vertical Farm Subsidies,default,"-FoodPrice, -Unemployment, -Rural_freq, HighIncome, Wealthy;  Farmland is getting rare but recent inventions in architecture and agriculture could easily be bundled to make vertical farming in cities feasible. Food production in vertical farms requires more resources but reduced transport costs mitigate that problem.",,20,5,2,2,ECONOMY,400,3000,,8,0,0,,#Effects,"FoodPrice,-0.1-(0.3*x),6","Unemployment,0-(0.1*x)","Farmers_freq,-0.02-(0.03*x),3","Farmers,-0.02-(0.03*x)","_HighIncome,0+(0.15*x)","Wealthy,0+(0.1*x)",,,,,,,,
#,BasicSurvivalGrant,Basic Survival Grant,basicsurvivalgrant,"LowIncome, MiddleIncome,0.2*(PovertyRate*x), HighIncome,0.01*(PovertyRate*x), Poor,1.1*(PovertyRate*x), MiddleClass,0.2*(PovertyRate*x), Unemployment,0.5*(PovertyRate*x),4;  Provide all citizens equal money to pay the minimum cost of human survival, based on the poverty line. These periodic cash payments offer a simpler and more transparent approach than other forms of welfare, with little bureaucratic waste.",,25,10,2,2,ECONOMY,1000,50000,"_default_,0;PovertyRate,0+(1.1*x)",1,0,0,,#Effects,"_LowIncome,1.1*(PovertyRate*x)","_MiddleIncome,0.2*(PovertyRate*x)","_HighIncome,0.01*(PovertyRate*x)","Poor,1*(PovertyRate*x)","MiddleIncome,0.2*(PovertyRate*x)","Unemployment,0.5*(PovertyRate*x),4",,,,,,,,
#,RuralDevelopmentGrants,Rural Development Grants,default,"-Unemployment, LowIncome, Equality, GDP, Rural, Rural_freq;  Unemployment, Poor Income, Equality, Rural. As technology advances and more and more citizens take jobs in our cities, there is a danger that poverty and unemployment will rise to unacceptable levels in the countryside. Rural development grants do distort the free market, but they also support rural businesses and prevent poverty amongst Rural and other rural occupations.",,25,10,2,2,ECONOMY,100,4000,,6,0,0,,#Effects,"Unemployment,0.00-(0.15*x)","_LowIncome,0.02+(0.13*x)","Equality,0.00+(0.15*x)","GDP,0.00+(0.06*x),4","Farmers,0.1+(0.1*x)","Farmers_freq,0.05+(0.05*x),8",,,,,,,,
#,SyntheticMeatResearchGrants,Synthetic Meat Subsidies,default,"-FoodPrice, -Rural_freq, -Everyone, -Fearful, Fearful_freq, HighIncome, Wealthy;  Price reduced 30% by stem cell research. Overfarming, droughts and population growth result in increases in meat prices. Synthetic production can make meat affordable for the masses. Rural are opposed, as food production moves from the field to the lab.",,25,10,2,2,ECONOMY,90,1300,"_default_,1.0;StemCells,-0.3*(x^0.8)",11,0,0,,#Effects,"FoodPrice,-0.05-(0.05*x),12","Farmers_freq,-0.02-(0.03*x),8","Farmers,-0.02-(0.03*x)","_All_,0-(0.1*x)","Patriot,-0.05-(0.2*x)","Patriot_freq,0.02+(0.03*x)","_HighIncome,0+(0.1*x)","Wealthy,0+(0.05*x)",,,,,,
#,StateHousing,State Housing,default,"LowIncome, -PovertyRate, Poor, Equality, Socialist, -Capitalist, Socialism;  Some citizens prefer to own their own homes, but the cost of housing is such that a large proportion of the population live in rented accommodation. State housing is provided, at a reduced rate, to those who cannot afford to pay the market rate. This can be expensive to fund, but the social benefits are also significant.",,30,50,2,2,ECONOMY,1000,8400,,16,0,0,,#Effects,"_LowIncome,0.05+(0.05*x)","PovertyRate,-0.05-(0.05*x)","Poor,0.05+(0.05*x)","Equality,0+(0.2*x)","Socialist,0+(0.1*x)","Capitalist,0-(0.1*x)","_global_socialism,0.02+(0.03*x),12",,,,,,,
#,StatePensions,State Pensions,default,"Retired_income, Retired, Retired_freq, -PovertyRate, Poor, -Capitalist, Socialism;  Rather than leave it up to the individual to provide for themselves after retirement, state pensions can guarantee a minimum standard of living for the elderly. Be aware that as life expectancy rises, the cost to the state of paying out pensions increases hugely. The level of state pension may encourage or discourage citizens to save into private pension plans.",,30,50,2,2,ECONOMY,2500,14000,"_default_,1.0;Health,0.2*(x^6)",1,0,0,,#Effects,"Retired_income,0.1+(0.2*x)","Retired,0.1+(0.2*x)","Retired_freq,0+(0.1*x),8","PovertyRate,0.05-(0.05*x)","Poor,0.05+(0.05*x)","Capitalist,-0.02-(0.1*x)","_global_socialism,0.02+(0.03*x),12",,,,,,,
#,UnemployedBenefit,Unemployed Benefit ,default,"-Capitalist, Unemployment, Poor, Socialist, -PovertyRate, LowIncome,1*(Unemployment*Wages*x);  Price affected 100% by unemployment. Unemployment benefit is a state benefit given to everyone who is able to work but cannot find employment. Socialists regard this as a minimum safety net for workers out of work because of the whims of the economy. Some believe that high unemployment benefits distort the market and discourage people from seeking work.",,30,10,2,2,ECONOMY,500,5440,"Unemployment,0+(1.0*x)",1,0,0,,#Effects,"_LowIncome,1*(Unemployment*Wages*x)","PovertyRate,-1*(Unemployment*Wages*x)","Unemployment,0+(0.1*x),8","Poor,0.05+(0.1*x)","Capitalist,-0.01-(0.18*x)","Socialist,0+(0.15*x)",,,,,,,,
#,MilitarySpending,Military Spending,militaryspending,"-Unemployment, -_Terrorism, -ForeignRelations, Technology,0.3*(x^4),16, StateEmployees_freq, StateEmployees, Fearful, -Religious, -Liberal;  A modern, well equipped military can cost an absolute fortune, and many people feel that the money could best be spent elsewhere. Others (especially Fearfuls) would argue that you cannot put a price on freedom and security, and also point out the huge benefits for our businesses, technology and employment figures.",,0,50,2,5,FOREIGNPOLICY,500,20000,"_default_,1.0;Wages,-0.1+(0.2*x)",4,0,0,,#Effects,"Unemployment,-0.1-(0.15*x)","_Terrorism,-0.1*(x^0.04),4","ForeignRelations,0.153-(x-0.39)^2","Technology,0.3*(x^4),16","StateEmployees_freq,0.2+(0.05*x)","StateEmployees,0.15+(0.1*x)","Patriot,0.05+(0.35*x)","Religious,-0.15*(x^2)","Liberal,-0.5*(x^2)",,,,,
#,BorderControls,Border Controls,bordercontrols,"-Immigration, -CrimeRate, -DrugCrime, -_Terrorism, -InternationalTrade, -Tourism, Fearful, -Capitalist, -Religious;  Without some kind of customs checks at the borders, your country is open to the problem of mass illegal immigration. Some people argue that these immigrants cause crime, others that they take jobs away from your own citizens. Border controls can be effective in reducing illegal immigration.",,5,10,5,5,FOREIGNPOLICY,10,280,,1,0,0,,#Effects,"Immigration,0-1*(x^2),2","_Terrorism,-0.05-(0.05*x),4","DrugCrime,-0.03-(0.02*x),4","CrimeRate,-0.03-(0.02*x),4","InternationalTrade,0-(0.1*x)","Patriot,0.1+(0.9*x)","Tourism,-0.15*(x^4)","Religious,-0.2*(x^4)","Capitalist,-0.3*(x^4)",,,,,
#,TourismAdCampaign,Tourism Ad Campaign,default,"Tourism, ForeignRelations;  Tourism is not only a source of income for many people and businesses, it also strengthens foreign relations. This campaign will run in foreign countries, showing our most beautiful places, important sights to see, wonderful people to meet, tasty beers to drink and maybe even throws in a few free tickets to museums and shows, all in the hopes of attracting more people to visit us.",,5,2,0,0,FOREIGNPOLICY,40,110,,1,0,0,,#Effects,"Tourism,0+(0.08*x),4","ForeignRelations,0+(0.04*x),4",,,,,,,,,,,,
#,TradeCouncil,Trade Council,default,"InternationalTrade, ForeignRelations;  It has always been a hassle to find trustworthy trading partners in foreign countries. With the establishment of the Trade Council, this will become easier now, as potential trade partners are listed here and make offers themselves. This will increase international trade and boost the economy.",,5,2,0,0,FOREIGNPOLICY,30,110,,1,0,0,,#Effects,"InternationalTrade,0.01+(0.03*x),8","ForeignRelations,0+(0.04*x),8",,,,,,,,,,,,
#,CitizenshipTests,Cultural Integration,default,"-RacialTension;  This program helps people migrating to our country fit into our culture and understand our history, reducing racial tension caused by immigration.",,10,2,1,1,FOREIGNPOLICY,10,500,"Immigration,0+(1.0*x)",1,0,0,,#Effects,"RacialTension,-0.4*(Immigration*x),4",,,,,,,,,,,,,
#,DroneStrikeAct,Military Drones,dronestrikes,"-Liberal, Fearful, -_Terrorism, -ForeignRelations;  Global terrorism threatens our country. Drone strikes on foreign grounds are a safe way to prevent terror organisations from reaching their full potential. Fearfuls are calling for surgical strikes on terror leaders while liberals regard those as unethical.",,10,2,1,1,FOREIGNPOLICY,100,2000,,3,0,0,,#Effects,"Liberal,0-(0.1*x)^2","Patriot,0.05+(0.25*x)","_Terrorism,-0.1-(0.05*x),6","ForeignRelations,0-(0.4*x)",,,,,,,,,,
#,NationalService,National Service,nationalservice,"Equality, Fearful, Fearful_freq, -Young, Conservatives, -Liberal;  Compulsory military service for some citizens where they are taught the basics of how to defend this country from attack has some benefits. For example it would allow us to have a smaller regular army. However, there are concerns about forcing people to bear arms against their will.",,15,5,1,1,FOREIGNPOLICY,100,1000,,1,0,0,,#Effects,"Equality,0.1+(0.1*x),4","Patriot,0.3+(0.3*x)","Patriot_freq,0.10+(0.06*x)","Young,-0.10-(0.15*x)","Conservatives,0.1+(0.1*x)","Liberal,-0.1-(0.05*x)",,,,,,,,
#,Farmland,Farmland Acquisition Program,default,"-FoodPrice, InternationalTrade, -ForeignRelations, -Rural_freq, -Rural_income, -Liberal;  We have to acquire fertile lands to stabilize the food supply of our country. The ministry for foreign affairs brokers deals with developing nations. Our expenses support nations stuck in poverty, while the crops we can grow on those country's fertile soil reduce the food price significantly. Environmentalists and Liuberals liken it to new colonialism.",,20,5,2,2,FOREIGNPOLICY,2400,6600,"_default_,1.0;ForeignRelations,0-(0.15*x)",6,0,0,,#Effects,"FoodPrice,0.02-(0.18*x),8","InternationalTrade,0.05+(0.05*x)","ForeignRelations,0-(0.2*x)","Farmers_freq,-0.02-(0.03*x),3","Farmers_income,0-(0.05*x),14","Liberal,-0.05-(0.05*x)",,,,,,,,
#,ForeignAid,Foreign Aid,default,"ForeignRelations, Religious, -Fearful;  Some foreign countries have very poor economies, poor education or food shortages, and it can be argued that relatively rich nations such as ours have a moral duty to help them. Others may argue that the first priority of any nation is to its own citizens, and if those citizens wish to help, they can do so individually through charities.",,20,5,2,2,FOREIGNPOLICY,200,2490,,1,0,0,,#Effects,"ForeignRelations,0+(0.6*x),24","Religious,0.05+(0.15*x)","Patriot,-0.3-(0.1*x)",,,,,,,,,,,
#,SecondLanguage,Second Language,secondlanguage,"-RacialTension, Education, ForeignRelations, InternationalTrade, Immigration, -Conservative, Capitalist;  Requires all citizens to learn a second language, reducing racial tension caused by immigration.",,25,10,2,2,FOREIGNPOLICY,80,205,,1,0,0,,#Effects,"RacialTension,-0.4*(Immigration*x),4","Education,0.04+(x*0.01),4","ForeignRelations,0.01+(x*0.05),4","InternationalTrade,0.05+(x*0.05),8","Immigration,0.01+(x*0.08),8","Conservative,-0.2*(x^2)","Capitalist,0+(0.1*x)",,,,,,,
#,HandgunLaws,Civilian Weapons,gunlaws,"-ViolentCrimeRate, Religious, Parents, -Rural, -Fearful;  Some countries allow the virtually unrestricted ownership of any kind of firearm, whereas in others it is strictly controlled. Some people talk of the basic right to defend yourself, others are concerned that gun ownership leads to gun crime.",,0,30,5,5,LAWANDORDER,0,4,,1,0,0,,#Effects,"ViolentCrimeRate,0-(0.40*x),4","Religious,0+(0.3*x)","Parents,0+(0.15*x)","Farmers,-0.3*(x^3)","Patriot,0-(0.6*x)",,,,,,,,,
#,PoliceForce,Police Force,default,"-CrimeRate, -ViolentCrimeRate, -DrugCrime, -Unemployment, RacialTension, StateEmployees_freq, StateEmployees_income, StateEmployees, Conservatives;  Every government needs to employ a police force to ensure order is kept and laws are obeyed, but it's a matter of debate exactly how much should be spent on the police. Some favor a large force with police on every street corner, other prefer a more low-key and tolerant approach.",,0,40,2,5,LAWANDORDER,300,5000,"_default_,0.8;Wages,-0.2+(0.4*x)",6,0,0,,#Effects,"CrimeRate,0-(0.4*x),4","ViolentCrimeRate,-0.1-(0.15*x),3","DrugCrime,0-(0.1*x),3","Unemployment,0-(0.05*x)","RacialTension,0+(0.2*x)","StateEmployees_freq,0.01+(0.09*x)","StateEmployees_income,0+(0.1*x)","StateEmployees,0+(0.14*x)","Conservatives,0.05+(0.2*x)","Liberal,0-(0.2*x)",,,,
#,Curfews,State of Emergency,emergency,"-ViolentExtremism, -ViolentCrimeRate, -CrimeRate, -Tourism, -AirTravel, -RailUsage, -BusUsage, -Productivity, -WorkingWeek, -InternationalTrade, -Everyone, -Liberal;  A state of emergency means the government can suspend or change some of its functions during this period of time. It alerts citizens to change their normal behavior and orders government agencies to implement emergency plans. A government can declare a state of emergency during a time of natural or human-made disaster, during a period of civil unrest, or following a declaration of war or situation of armed conflict.",,0,0,0,0,LAWANDORDER,600,800,"GDP,0.1+(0.9*x)",1,0,0,,#Effects,"Flooding,-0.25-(0*x)","Watershortage,-0.25-(0*x)","_Terrorism,-0.6*(x^0.1)","ViolentCrimeRate,-0.4*(x^10)","CrimeRate,-0.3*(x^10)","GDP,-0.2-(0.2*x),8","Tourism,-0.5-(0.5*x)","AirTravel,-0.8*(x^0.1)","RailUsage,-0.6*(x^0.1)","BusUsage,-0.4*(x^0.1)","_All_,-0.05-(0.15*x),4","Liberal,-1*(x^2),4","Liberal,-1+(0*x),8","_security_,0.6*(x^0.1)"
#,ArmedPolice,Armed Police,armedpolice,"-CrimeRate, -ViolentCrimeRate, +_security_, RacialTension, -Liberal;  Arming police officers can be an effective strategy in deterring crime and maintaining order. Opponents would argue that it encourages criminals to use firearms in a 'criminal arms race'. Critics also worry that arming the police will distance them from law-abiding citizens.",,5,2,1,1,LAWANDORDER,300,960,,3,0,0,,#Effects,"CrimeRate,-0.10-(0.10*x)","ViolentCrimeRate,0.00-(0.20*x)","_security_,(0.025+0.035*x)","RacialTension,0+(0.3*x)","Liberal,0-(0.2*x)",,,,,,,,,
#,GatedCommunities,Gated Communities,gatedcommunities,"Conservatives, Wealthy, -Equality;  A drastic solution to serious street crime and vandalism, gated communities are basically self-policed residential areas. They are popular with the wealthy, but often associated with class divide and inequality, as only the relatively wealthy can afford to live inside them. As a result, some governments are reluctant to permit their construction.",,5,2,0,0,LAWANDORDER,0,0,,11,0,0,,#Effects,"Wealthy,0.00+(0.42*x)","Conservatives,0.00+(0.40*x)","Equality,0.00-(0.15*x),8",,,,,,,,,,,
#,Prisons,Prisons,default,"-CrimeRate, -ViolentCrimeRate, -Unemployment, StateEmployees_freq;  Some argue that providing the minimum number of bare, cold cells is the only provision that needs to be made for those who have broken the law. Others suggest that spending more money allows for prisoners to be rehabilitated as well as punished and reduces the chances of reoffending.",,5,5,2,2,LAWANDORDER,100,1000,"DrugCrime,0+(1*x);CrimeRate,0+(1*x);ViolentCrimeRate,0+(0.2*x);",6,0,0,,#Effects,"CrimeRate,-0.05-(0.05*x),8","ViolentCrimeRate,-0.05-(0.05*x),8","Unemployment,0-(0.1*x)","StateEmployees_freq,0.01+(0.04*x)",,,,,,,,,,
#,CCTVCameras,CCTV Cameras,cctv,"-CrimeRate, -ViolentCrimeRate, -Liberal, Conservatives, +_security_;  CCTV cameras can be a great help in catching criminals and cameras also deter crime.  The installation costs are extremely high, and there are concerns about civil rights from people who don't like to feel that the government is constantly watching them.",,10,2,1,1,LAWANDORDER,400,720,,1,0,0,,#Effects,"CrimeRate,-0.16*(x^0.4),4","ViolentCrimeRate,-0.10-(0.20*x),3","Liberal,0-(0.1*x)","Conservatives,0+(0.25*x)","_security_,(0.025+0.038*x)",,,,,,,,,
#,IntelligenceServices,Intelligence Services,intelligence,"-CrimeRate, +_security_, Fearful, -Liberal;  Security services are an essential tool in the fight against organized crime and terrorism. Good, reliable intelligence can be difficult and expensive to obtain, and in many cases the methods employed can be unpopular with liberals and human rights advocates.",,10,2,1,1,LAWANDORDER,900,3000,,4,0,0,,#Effects,"CrimeRate,-0.13-(0.02*x),4","_security_,0+(0.4*x),2","Patriot,0.1+(0.1*x)","Liberal,0-(0.1*x)",,,,,,,,,,
#,InternetCensorship,Internet Censorship,internetcensorship,"Conservatives, -Technology, -Liberal, -Young;  Liberals would suggest that the internet's greatest characteristic is its freedom from censorship and control, leading to an open and tolerant society. Freedom has its price however, and there is no shortage of material on the internet that can assist those with criminal intent. Opinion on what should and should not be censored on the web is bitterly divided.",,10,2,1,1,LAWANDORDER,250,400,,1,0,0,,#Effects,"Conservatives,0.10+(0.15*x)","Technology,0.00-(0.12*x),4","Liberal,-0.5*(x^2)","Young,-0.1*(x^2)",,,,,,,,,,
